id,term,definition,source,url_source,explanation,source_explanation,url_source_explanation,key
5416,UB,Zone d'habitat dense d POS.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,ubzonedhabitatdensedpos
5417,UC,Zone d'habitat de densité moyenne du POS.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,uczonedhabitatdedensitémoyennedupos
6281,UC,Unité Capitalisable,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,ucunitécapitalisable
5411,UCANSS,Union des caisses nationales de sécurité sociale,Sénat,https://www.senat.fr/histoire/sigles.html,,,,ucanssuniondescaissesnationalesdesécuritésociale
6282,UCLAT,Unité de Coordination de la Lutte Anti-Terrorisme,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,uclatunitédecoordinationdelalutteantiterrorisme
6283,UCLIR,Unité de Coordination de la Lutte contre l'Insécurité Routière,Denis Merigoux,https://gist.github.com/ColinMaudry/fe30f024d3cea20d1f6ccd579d9acd3f#file-gendarmerie-csv,,,,uclirunitédecoordinationdelaluttecontrelinsécuritéroutière
5420,UCME,Unité de compte monétaire européenne.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,ucmeunitédecomptemonétaireeuropéenne
5421,UCPA,Union des centres sportifs de plein air,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,ucpauniondescentressportifsdepleinair
5422,UCR,Unité de Coordination Régionale,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,ucrunitédecoordinationrégionale
5423,UCSA,Unité de Consultations et de Soins Ambulatoires,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,ucsaunitédeconsultationsetdesoinsambulatoires
5424,UD,Zone d'habitat de densité faible du POS.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,udzonedhabitatdedensitéfaibledupos
5419,UDAF,Union départementale des associations familiales,beta.gouv.fr,https://github.com/betagouv/glossary-bot,,,,udafuniondépartementaledesassociationsfamiliales
5427,UDAPEDA,Union Départementale des Associations de Parents d’Enfants Déficients Auditifs,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,udapedauniondépartementaledesassociationsdeparentsdenfantsdéficientsauditifs
5428,UDV,Union diaconale du Var,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,udvuniondiaconaleduvar
5426,UE,Union européenne.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,ueunioneuropéenne
5429,UE,Zone d'activité du POS,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,uezonedactivitédupos
5431,UEHD,Unité Éducative d’Hébergement Diversifié,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,uehdunitééducativedhébergementdiversifié
5432,UEM,Union économique et monétaire.,M. Lafay - CCE-LR,http://www.cce-lrv.com/documents/images/general_photos/151_Fichier.pdf,,,,uemunionéconomiqueetmonétaire
5433,UEMO,Unité Éducative De Milieu Ouvert,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,uemounitééducativedemilieuouvert
5434,UEO,Union de l'Europe occidentale,Sénat,https://www.senat.fr/histoire/sigles.html,,,,ueouniondeleuropeoccidentale
5435,UER,Unité d'enseignement et de recherche,Sénat,https://www.senat.fr/histoire/sigles.html,,,,uerunitédenseignementetderecherche
5436,UEROS,"Unité D’evaluation, De Réentrainement Et D’orientation Sociale Et Professionnelle",L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,uerosunitédevaluation
5430,UES,Union d'économie sociale,Sénat,https://www.senat.fr/histoire/sigles.html,,,,uesuniondéconomiesociale
5439,UESL,Union d'économie sociale pour le logement,Sénat,https://www.senat.fr/histoire/sigles.html,,,,uesluniondéconomiesocialepourlelogement
5440,UET,Unité Elémentaire de Travail,L. Bohu - maraudes.fr,http://maraudes.fr/glossaire-sigles-social-de-sante-de-ladministration/,,,,uetunitéelémentairedetravail
